Sl_no,Label_ROI,A_ID,parent_folder,Location_Num,latitude,longitude,Samplng_location,Date,year,Sex,Dorsal_pat,SVL_mm,Mass_g,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,VR,VG,VB,UVB,UVR
459,DB50464_d1,DB50464,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,c,44.29,1.3,16.14569578,4.622893464,7387,0.894400507,2.82842712,0.140736754,6.355130975,0.453937927,0.273781045,16.14569578,15.03444631,13.35932163,8.945348452,8.675653567
460,DB50465_d1,DB50465,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,M,c,54.66,3.65,14.00159366,5.58527474,14259,0.987867381,3.999999987,0.160569967,6.152255008,0.439446786,0.336429956,14.00159366,13.02350894,11.256632,8.055231791,7.730924935
461,DB50466_d1,DB50466,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,b,55.54,3.38,11.9480062,4.035633339,14775,0.65431819,5.656854221,0.124910604,5.23829178,0.374163699,0.194843599,11.9480062,10.91761885,9.609692853,7.568570962,7.281834883
462,DB50467_d1,DB50467,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,b,54.35,2.98,13.24448791,5.329650898,13914,0.997702907,3.999999987,0.12065973,8.26873144,0.590623674,0.31297579,13.24448791,12.21849469,11.16818942,8.644303421,8.364666478
463,DB50468_d1,DB50468,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,c,49.13,2.67,10.82847362,3.096453573,13321,0.486219648,2.82842712,0.131968203,3.684369707,0.263169265,0.145499187,10.82847362,9.935851064,9.243937835,7.754957715,7.391203497
464,DB50469_d1,DB50469,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,d,55.88,3.06,13.2792463,5.41146853,16903,0.92270487,3.99999999,0.14208608,6.49398491,0.46385607,0.30867621,13.2792463,12.2210188,10.8790944,8.15812953,7.90214105
465,DB50470_d1,DB50470,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,M,a,56.19,3.77,15.94445,7.09410546,15638,1.22496543,2.82842712,0.14113388,8.67945684,0.6199612,0.38026438,15.94445,15.2955411,13.1387022,8.50204682,8.09912878
466,DB50471_d1,DB50471,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,M,a,53.79,3.83,12.6792125,5.70631923,13068,0.95033413,2.82842712,0.12041398,7.89222437,0.56373031,0.28403851,12.6792125,11.4975773,9.95399837,7.23640537,6.84918193
467,DB50472_d1,DB50472,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,c,48.85,1.91,12.5681519,4.23106025,9226,0.77879476,2.82842712,0.1272563,6.11989182,0.43713513,0.22326036,12.5681519,11.5928221,10.0056974,7.41939596,7.21983244
468,DB50473_d1,DB50473,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,M,a,55.13,4.19,12.7453316,4.23222313,15495,0.74999078,3.99999999,0.16358931,4.58459519,0.32747109,0.25371451,12.7453316,12.2390103,10.2654806,7.65247274,7.2283077
469,DB50474_d1,DB50474,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,M,c,54.84,3.29,12.8115371,4.32872703,12823,0.66823249,2.82842712,0.14783692,4.5200652,0.3228618,0.22753045,12.8115371,11.1128049,9.65992196,7.83340032,7.4929219
470,DB50475_d1,DB50475,sec_4,21,42.29681918,-8.13740218,Ribadavia,16042023,2023,F,c,50.25,1.9,12.5124206,4.34141386,11721,0.73905167,2.82842712,0.11325759,6.52540509,0.46610036,0.21079515,12.5124206,11.2265059,9.98306496,7.19671978,7.01606065
