Sl_no,Label_ROI,A_ID,parent_folder,Location_Num,latitude,longitude,Samplng_location,Date,year,Sex,Dorsal_pat,SVL_mm,Mass_g,lumMean,lumSD,area,maxPower,maxFreq,propPower,sumPower,meanPower,powerSD,VR,VG,VB,UVB,UVR
46,DB50038_d1,DB50038,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,d,64.88,5.41,15.32650008,5.002676457,16981,0.825260475,3.999999987,0.128132628,6.440673898,0.460048136,0.237319266,15.32650008,14.36735097,11.68582158,7.461713229,6.822541816
47,DB50039_d1,DB50039,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,c,48.77,1.75,13.22157644,3.988806787,7775,0.691745471,2.82842712,0.159908995,4.325869664,0.30899069,0.237338192,13.22157644,11.82515536,10.48019254,8.326615574,7.793519361
48,DB50040_d1,DB50040,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,M,c,51.07,2.51,13.31714933,4.643077016,10324,0.899721228,3.999999987,0.137138545,6.560673592,0.468619542,0.314821708,13.31714933,12.02692094,10.50573254,8.72643533,8.254591607
49,DB50041_d1,DB50041,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,60.98,3.9,15.09175895,3.496969965,14772,0.5647976,3.999999987,0.134608733,4.195846654,0.299703332,0.178180176,15.09175895,13.38856675,11.58002833,7.941371871,7.304790884
50,DB50042_d1,DB50042,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,46.89,1.71,14.26364881,3.38493135,8371,0.541040107,2.82842712,0.129168084,4.188651647,0.299189403,0.159521395,14.26364881,12.11976236,10.51416524,7.782406308,7.389794125
51,DB50043_d1,DB50043,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,b,47.29,1.93,13.47200731,3.069252369,8202,0.524280087,3.999999987,0.138361208,3.789212995,0.270658071,0.15771772,13.47200731,11.6972575,9.818900872,7.271200257,6.882839652
52,DB50044_d1,DB50044,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,57.37,2.89,14.25902665,3.240565141,12577,0.577278239,3.999999987,0.135295728,4.266788362,0.304770597,0.195470068,14.25902665,13.18547011,11.17154833,7.588356591,7.181386653
53,DB50045_d1,DB50045,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,60.52,4.17,14.8722766,3.937645765,15084,0.689825737,3.999999987,0.154600725,4.461982562,0.31871304,0.244108283,14.8722766,12.82300029,10.32193848,7.104471709,6.669170513
54,DB50046_d1,DB50046,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,55.06,2.46,12.9771056,4.181607763,11662,0.663202508,3.999999987,0.160404985,4.134550488,0.295325035,0.242117978,12.9771056,11.42768399,10.00017305,8.096621131,7.625304061
55,DB50047_d1,DB50047,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,c,48.36,1.83,12.64358408,4.273292026,9619,0.645495313,2.82842712,0.139711013,4.620217812,0.330015558,0.221043543,12.64358408,11.4206057,10.37810814,7.523861725,7.242069171
56,DB50048_d1,DB50048,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,48.47,1.81,14.46401493,3.846359274,8482,0.6072791,2.82842712,0.146213292,4.153378191,0.296669871,0.190495744,14.46401493,12.79362412,11.00572938,7.5006033,7.117206447
57,DB50049_d1,DB50049,sec_1,2,41.145116,-8.619136,"Parque das Virtudes, Porto",29042022,2022,F,d,50.07,2.18,16.78387036,3.815092672,10110,0.576490768,3.999999987,0.132988216,4.334901127,0.309635795,0.189499931,16.78387036,14.48580399,12.04246264,8.121005968,7.561187289
58,DB50050_d1,DB50050,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,d,44.79,1.56,12.79304488,4.5463041,7775,0.787414149,2.82842712,0.145415891,5.414911294,0.386779378,0.245472452,12.79304488,11.5335661,10.57661265,7.831930695,7.295731403
59,DB50051_d1,DB50051,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,45.45,1.46,12.36209143,5.199162693,7047,0.970963797,2.82842712,0.148975013,6.517628558,0.465544897,0.303113017,12.36209143,12.14339164,11.12741873,7.733909575,7.23967543
60,DB50052_d1,DB50052,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,46.52,2.57,11.66198537,5.39376276,9300,0.993394019,2.82842712,0.162635903,6.108085598,0.436291828,0.337104603,11.66198537,10.97506861,10.10989264,7.74678902,7.152852666
61,DB50053_d1,DB50053,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,42.22,1.66,14.25633675,6.154552646,7380,1.18305468,2.82842712,0.175633943,6.735911397,0.481136528,0.405001115,14.25633675,12.81673111,11.66826694,8.273308667,7.711439575
62,DB50054_d1,DB50054,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,c,53.76,3.65,13.09351214,5.157736078,13349,0.920754149,3.999999987,0.152224705,6.04865124,0.432046517,0.299749053,13.09351214,12.38403221,10.87093443,7.850578552,7.202194098
63,DB50055_d1,DB50055,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,49.53,2.35,12.57445432,4.710893036,10128,0.830978041,2.82842712,0.133010366,6.247468257,0.446247733,0.259590863,12.57445432,11.82881642,11.07960992,8.893375041,8.297463574
64,DB50056_d1,DB50056,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,39.43,1.53,13.65434389,5.201036548,7521,0.876197186,2.82842712,0.165442482,5.296083405,0.378291672,0.300845082,13.65434389,12.84065101,11.57990027,8.745769578,8.169515629
65,DB50057_d1,DB50057,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,a,55.88,4.1,13.50530131,6.255946804,12898,1.057720174,2.82842712,0.160134997,6.605178093,0.471798435,0.356255382,13.50530131,12.84926042,11.03762263,8.040232467,7.35725291
66,DB50058_d1,DB50058,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,a,53.13,3.74,13.08109425,5.036701669,13269,0.89732608,2.82842712,0.159514488,5.62535787,0.401811276,0.288338211,13.08109425,12.93403933,11.34746691,8.891942024,8.22142888
67,DB50059_d1,DB50059,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,c,56.73,3.85,14.37673657,6.209624904,12363,1.144187551,3.999999987,0.165302549,6.921778021,0.494412716,0.383735832,14.37673657,13.11198963,11.24909731,7.654233654,7.158109728
68,DB50060_d1,DB50060,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,c,43.91,1.94,13.86772409,4.856274181,8064,0.885162247,2.82842712,0.175121478,5.0545613,0.361040093,0.31310381,13.86772409,12.59698058,11.51722041,8.564609065,7.99425966
69,DB50061_d1,DB50061,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,a,56.94,4.29,12.15234864,5.078773604,14614,0.837029147,2.82842712,0.151225561,5.534971351,0.395355096,0.28581429,12.15234864,11.32166896,10.64389277,8.973600919,8.242719588
70,DB50062_d1,DB50062,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,d,49.04,2.92,14.19734189,5.570890752,11145,0.944994579,3.999999987,0.156759336,6.028314507,0.430593893,0.314036246,14.19734189,12.77908451,10.99782602,7.997135576,7.369168608
71,DB50063_d1,DB50063,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,c,39.58,1.17,13.4492079,5.145476591,6416,0.93263502,2.82842712,0.170560821,5.468049558,0.390574968,0.328311774,13.4492079,12.51345686,11.40106871,8.594038213,8.129944142
72,DB50064_d1,DB50064,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,M,d,59.14,3.94,10.67222885,4.021150456,14757,0.734580947,2.82842712,0.156667786,4.68878106,0.334912933,0.25555517,10.67222885,10.68225765,9.823158927,8.281019509,7.74655486
73,DB50065_d1,DB50065,sec_1,3,41.31288519,-8.446029941,Santo Tirso,9052022,2022,F,d,40,1.19,13.67970949,5.99410946,7168,1.07487051,2.82842712,0.18249854,5.889748529,0.420696324,0.397334277,13.67970949,12.5337175,11.08903743,8.978979578,8.283760166
74,DB50066_d1,DB50066,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,d,44.4,2.02,13.97421464,6.092537006,9559,0.943132666,3.999999987,0.124013585,7.605075412,0.543219672,0.292825762,13.97421464,12.52285885,11.24275884,9.157134396,8.85916808
75,DB50067_d1,DB50067,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,54.69,2.55,14.61403867,6.150833422,10737,1.103233518,3.999999987,0.14126654,7.809588299,0.557827736,0.376385849,14.61403867,13.58756222,12.31836083,9.059049255,8.464389381
76,DB50068_d1,DB50068,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,c,40.74,1.52,14.84890367,4.790841184,6614,0.758545706,3.999999987,0.128542559,5.901124987,0.421508928,0.27603598,14.84890367,13.03212231,11.55475873,9.004408453,8.33198453
77,DB50069_d1,DB50069,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,53.4,2.92,11.54744302,5.446729657,10700,0.842893874,3.999999987,0.123619644,6.818446043,0.48703186,0.280993711,11.54744302,11.69073675,10.28022703,7.110927319,6.46776772
78,DB50070_d1,DB50070,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,46.2,1.54,13.27205367,6.480640473,7752,1.097584933,3.999999987,0.132120031,8.30748313,0.593391652,0.357334934,13.27205367,12.77259516,11.63391015,8.032927473,7.29607023
79,DB50071_d1,DB50071,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,47.44,2.7,11.52428506,4.977559615,8811,0.795509626,2.82842712,0.120190461,6.618741803,0.472767272,0.268370837,11.52428506,11.79322893,10.32684819,7.488033702,6.784438814
80,DB50072_d1,DB50072,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,39.38,1.3,16.05576995,6.539255469,6886,1.088356518,3.999999987,0.137326549,7.925317601,0.566094114,0.358550188,16.05576995,13.84610847,12.27641842,8.36222586,7.690611164
81,DB50073_d1,DB50073,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,48.87,1.67,13.38008774,6.254698551,5675,0.895242614,2.82842712,0.121692983,7.35656723,0.525469088,0.324317072,13.38008774,11.94132568,10.8429448,8.484893115,7.65916841
82,DB50074_d1,DB50074,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,49.5,3,13.29801055,6.210493721,9991,1.071762694,3.999999987,0.127796692,8.386466633,0.599033331,0.357079117,13.29801055,12.14017924,10.72996733,7.294584739,6.692145143
83,DB50075_d1,DB50075,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,c,57.7,3.39,13.95031662,4.040406611,12812,0.651537555,3.999999987,0.133487459,4.880889645,0.348634975,0.204096751,13.95031662,11.71438951,10.06110355,7.034934448,6.389920305
84,DB50076_d1,DB50076,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,d,48.83,2.72,14.26378765,4.604198199,8998,0.639651361,3.999999987,0.13404157,4.772037216,0.340859801,0.210355124,14.26378765,12.65696064,10.6723578,7.629437151,6.9956385
85,DB50077_d1,DB50077,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,53.98,3.53,13.47286152,5.593565561,11517,0.760963019,3.999999987,0.120262079,6.327539204,0.451967086,0.24763568,13.47286152,11.8493009,10.6321838,7.682429015,7.033151211
86,DB50078_d1,DB50078,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,c,55.08,3.48,14.06696076,5.865118116,12480,1.044343238,5.656854221,0.126453461,8.258716114,0.589908294,0.337422187,14.06696076,12.62578645,11.17220561,7.513276344,6.876796187
87,DB50079_d1,DB50079,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,48.7,1.97,15.67236312,6.991005691,9944,1.066509232,3.999999987,0.114459255,9.317806858,0.665557633,0.365816686,15.67236312,14.02878603,12.73636743,8.639932039,7.98980568
88,DB50080_d1,DB50080,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,47.57,2.5,13.48248068,5.307037055,9301,0.755415791,2.82842712,0.118552404,6.371998927,0.45514278,0.231545058,13.48248068,13.29630791,11.91871871,8.015797825,7.366310497
89,DB50081_d1,DB50081,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,a,56.86,3.53,13.99400772,5.393160147,11118,0.972744079,3.999999987,0.115708407,8.406857446,0.600489818,0.304329742,13.99400772,12.34872499,11.08038897,7.779907246,7.143978191
90,DB50082_d1,DB50082,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,d,50.62,2.52,13.85787672,5.734305077,10929,0.861123201,2.82842712,0.115770135,7.438215371,0.531301098,0.224510768,13.85787672,12.67544515,11.41083181,7.932193233,7.282824146
91,DB50083_d1,DB50083,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,M,c,46.27,2.27,12.95624919,5.283115323,9184,0.845945802,3.999999987,0.11986447,7.057519225,0.504108516,0.269123767,12.95624919,11.38944971,10.38282527,7.618524317,7.020747752
92,DB50084_d1,DB50084,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,d,40.16,1.38,13.84992166,8.415560703,6882,1.296169431,3.999999987,0.121180789,10.69616263,0.764011616,0.410368076,13.84992166,13.11460213,12.27058426,8.322951812,7.68299169
93,DB50085_d1,DB50085,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,b,42.68,1.38,14.4231207,6.628152313,6933,0.927577071,3.999999987,0.117282732,7.908897212,0.564921229,0.306126101,14.4231207,12.89110488,11.8861304,8.556152155,7.92582603
94,DB50086_d1,DB50086,sec_1,4,41.06852,-8.503426,Crestuma,11052022,2022,F,b,47.42,1.65,13.4119887,4.572931589,8894,0.707797563,2.82842712,0.1316647,5.375758012,0.383982715,0.259023157,13.4119887,12.07716865,11.14255279,8.594973783,7.86782867
95,DB50087_d1,DB50087,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,c,45.58,1.54,10.60388776,5.716235439,8377,0.889992678,2.82842712,0.110866423,8.027612484,0.573400892,0.282157116,10.60388776,9.868759548,9.437110586,7.423761913,6.766892469
96,DB50088_d1,DB50088,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,42.37,1.34,12.46339032,5.535818852,7724,0.876445972,3.999999987,0.152790453,5.736261359,0.409732954,0.303261415,12.46339032,11.64303035,10.40917693,7.790282153,7.27403633
97,DB50089_d1,DB50089,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,42.99,1.45,12.58505231,5.130126212,7409,0.756877203,2,0.135172351,5.599349236,0.399953517,0.204040788,12.58505231,11.67900283,10.28517596,8.135445452,7.333050987
98,DB50090_d1,DB50090,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,52.56,2.54,13.14054154,6.254175385,10313,0.931492903,2.82842712,0.132955062,7.006073272,0.500433805,0.266315481,13.14054154,12.37211291,10.8806469,7.445114136,6.770672386
99,DB50091_d1,DB50091,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,40.6,1.08,12.44372284,5.880038658,6782,1.013996497,2.82842712,0.134234102,7.553941085,0.53956722,0.282085172,12.44372284,12.27222078,11.03661195,7.599166523,6.927518492
100,DB50092_d1,DB50092,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,42.97,1.31,13.2375618,5.909326302,7900,0.963495856,2.82842712,0.147482511,6.532949918,0.46663928,0.309669619,13.2375618,12.14660911,10.86749777,7.490689324,6.866925297
101,DB50093_d1,DB50093,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,42.48,1.13,11.00338412,5.058015587,7727,0.677232589,2.82842712,0.124887743,5.422730621,0.387337902,0.181956213,11.00338412,10.40217781,9.618984019,7.541903312,6.854177837
102,DB50094_d1,DB50094,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,53.29,2.2,13.96513831,5.720835989,12104,0.858165655,3.999999987,0.127681176,6.721160355,0.480082883,0.269717964,13.96513831,13.40775989,11.79807585,8.117491314,7.416188301
103,DB50095_d1,DB50095,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,51.64,1.94,13.08575157,6.168370436,10620,1.058463861,2.82842712,0.156546637,6.761332497,0.482952321,0.337323576,13.08575157,12.45008757,10.9960916,7.635829456,6.961816603
104,DB50096_d1,DB50096,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,40.18,1.36,11.85818909,5.024609267,7260,0.792468154,2.82842712,0.130921947,6.052981748,0.432355839,0.250927261,11.85818909,11.7154899,10.72162625,7.018242713,6.379558902
105,DB50097_d1,DB50097,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,51.05,1.84,11.03203677,5.182008662,11923,0.764499923,2.82842712,0.132829619,5.755492875,0.411106634,0.223564794,11.03203677,10.32966517,9.616332959,7.591390497,6.848290627
106,DB50098_d1,DB50098,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,58.53,3.76,11.36426946,4.781070949,16012,0.75456452,2.82842712,0.126808858,5.950408585,0.425029185,0.211470929,11.36426946,11.47892165,10.18134477,7.485982864,6.791556237
107,DB50099_d1,DB50099,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,52.17,2.07,12.40211749,4.707103423,10893,0.709311068,2.82842712,0.13879119,5.110634678,0.365045334,0.210442351,12.40211749,12.72695494,11.28857058,7.799008617,6.999872921
108,DB50100_d1,DB50100,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,53.73,2.78,10.97766906,6.314039484,11978,0.97847515,2.82842712,0.128652838,7.605546533,0.543253324,0.293066829,10.97766906,10.33701363,9.466733296,7.549774994,6.742338717
109,DB50101_d1,DB50101,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,c,50.16,2.22,10.09082282,3.991605736,11258,0.572113015,2.82842712,0.122738885,4.661220568,0.332944326,0.137182248,10.09082282,9.772047474,8.673023098,6.24264967,5.58632372
110,DB50102_d1,DB50102,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,53.71,2.66,11.92536633,4.244010418,13349,0.556319076,3.999999987,0.11243746,4.947809005,0.353414929,0.166001146,11.92536633,11.52999417,10.70895226,8.535947278,7.801710755
111,DB50103_d1,DB50103,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,57.07,4.2,11.85224921,6.027742666,16995,1.093842731,3.999999987,0.162618901,6.726418157,0.48045844,0.369773742,11.85224921,11.15264376,9.757914063,6.489201995,5.889542516
112,DB50104_d1,DB50104,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,54.18,2.73,11.04147103,5.691760149,13366,0.940685351,5.656854221,0.122223081,7.696462452,0.549747318,0.294855943,11.04147103,10.48100075,9.475845374,6.994092656,6.347922856
113,DB50105_d1,DB50105,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,48.52,1.64,10.47446053,4.554382984,9335,0.732905263,2.82842712,0.137798273,5.318682497,0.379905893,0.221130864,10.47446053,10.10821522,9.531228282,7.79729993,7.134715763
114,DB50106_d1,DB50106,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,57.58,3.4,11.16172953,5.119736605,14403,0.812346649,2.82842712,0.151302296,5.369030549,0.383502182,0.267757374,11.16172953,10.66036248,9.602614765,7.391673275,6.618376431
115,DB50107_d1,DB50107,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,59.58,3.76,10.53539866,4.733062192,15722,0.804227079,2.82842712,0.145124307,5.541642844,0.395831632,0.232927525,10.53539866,10.78820323,9.698283034,7.079727548,6.41523441
116,DB50108_d1,DB50108,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,c,49.96,2.53,11.14430826,4.369572172,11145,0.709236437,2.82842712,0.136866698,5.181950359,0.370139311,0.190115131,11.14430826,10.3376503,9.529993596,7.391638974,6.783803474
117,DB50109_d1,DB50109,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,c,46.36,1.95,10.64359895,5.675245731,10767,0.912456237,2.82842712,0.1263948,7.219096349,0.515649739,0.27944277,10.64359895,10.19635421,9.390218064,7.045711721,6.361458353
118,DB50110_d1,DB50110,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,40.34,1.14,12.01264388,4.684385583,7613,0.797425438,2.82842712,0.156092931,5.108658241,0.36490416,0.263155609,12.01264388,11.41050584,10.33003045,8.132794124,7.360569706
119,DB50111_d1,DB50111,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,55.57,4.77,10.65394825,5.561872043,14969,0.940607478,3.999999987,0.129245533,7.277678806,0.5198342,0.281008121,10.65394825,10.29443522,9.166021058,6.337912366,5.75877741
120,DB50112_d1,DB50112,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,57.23,3.64,10.93331137,5.509013379,14926,0.881567912,2.82842712,0.134124945,6.57273644,0.469481174,0.280056541,10.93331137,11.36131885,9.985719715,6.64832825,6.074288591
121,DB50113_d1,DB50113,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,c,50.37,2.64,10.37213875,5.571209701,12981,0.808037027,2.82842712,0.114823351,7.037218617,0.502658473,0.207765046,10.37213875,10.13141434,9.090117657,6.340245856,5.754839146
122,DB50114_d1,DB50114,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,47.89,1.21,13.34209295,6.192234276,7554,1.094413516,2.82842712,0.187306004,5.842917445,0.417351246,0.39552008,13.34209295,13.04459344,11.73074794,8.198078572,7.4673891
123,DB50115_d1,DB50115,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,44.52,1.45,10.62462254,3.88842372,8637,0.692562663,2.82842712,0.169040544,4.09702102,0.292644359,0.221858479,10.62462254,10.23190901,9.194824936,6.658252787,6.108817296
124,DB50116_d1,DB50116,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,59.72,4.72,11.49939234,4.305122605,15213,0.694233193,2.82842712,0.142917905,4.857566259,0.346969019,0.206985521,11.49939234,11.31517773,10.04560867,7.707768096,6.863053524
125,DB50117_d1,DB50117,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,52.51,3.03,10.89511122,4.415280018,13378,0.660571576,2.82842712,0.131047691,5.040696021,0.360049716,0.180497573,10.89511122,10.48538922,9.417095026,7.128261598,6.470565062
126,DB50118_d1,DB50118,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,40.62,1.24,11.1543467,4.428849282,8207,0.673650784,2.82842712,0.132875919,5.069773265,0.362126662,0.200224633,11.1543467,10.66950731,9.617202898,7.125241521,6.574385496
127,DB50119_d1,DB50119,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,51.57,2.35,10.5758553,4.498578327,11011,0.653477837,2.82842712,0.145712182,4.484716577,0.320336898,0.202796909,10.5758553,10.49024089,9.371326264,6.912912317,6.248201956
128,DB50120_d1,DB50120,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,50.68,2.1,12.6124116,5.842337827,12062,0.937515337,3.999999987,0.142231413,6.591478765,0.470819912,0.298644491,12.6124116,12.04660857,10.83770036,8.408763618,7.521574922
129,DB50121_d1,DB50121,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,d,56,3.22,10.04175496,3.89155119,13896,0.577317267,3.999999987,0.11785942,4.898354904,0.349882493,0.142967119,10.04175496,9.98202342,9.109056401,7.520540166,6.762557575
130,DB50122_d1,DB50122,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,c,52.43,2.79,11.0958912,5.168908975,12011,0.842716442,2.82842712,0.13167265,6.400087225,0.457149088,0.245688448,11.0958912,11.24599724,9.912305137,6.673672627,6.112251042
131,DB50123_d1,DB50123,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,M,a,58.53,3.88,10.2280516,4.766750282,14870,0.890037418,2.82842712,0.146475585,6.07635341,0.434025244,0.272300442,10.2280516,10.03100259,8.820077842,6.658517092,5.993062977
132,DB50124_d1,DB50124,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,d,57.17,2.73,11.16654577,4.864093328,14918,0.78826745,2.82842712,0.15128715,5.210405838,0.372171846,0.261297504,11.16654577,11.35137053,10.02780878,7.164357063,6.501276438
133,DB50125_d1,DB50125,sec_1,5,41.586107,-8.281169,Povoa de Lanhoso,13052022,2022,F,b,45.9,1.59,12.13807837,5.438805192,9775,0.808934941,2.82842712,0.114522111,7.063569969,0.504540712,0.206464985,12.13807837,10.91592849,9.897310283,7.490601279,6.75287897
134,DB50126_d1,DB50126,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,c,53.14,1.99,9.873344369,4.084127811,10808,0.679912549,2.82842712,0.1448457,4.694047183,0.335289084,0.230101212,9.873344369,9.246566132,8.830542268,7.951480298,6.970662002
135,DB50127_d1,DB50127,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,b,56.9,2.97,9.021732113,3.49172581,13913,0.559144912,3.999999987,0.128843032,4.339737299,0.309981236,0.18108848,9.021732113,8.370431457,7.614856442,6.838422956,6.149308809
136,DB50128_d1,DB50128,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,c,37.84,0.83,12.36808356,3.58797988,5409,0.617347764,2.82842712,0.163316877,3.780061044,0.27000436,0.196271347,12.36808356,11.47206306,10.27546143,8.076817683,7.299887053
137,DB50129_d1,DB50129,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,a,39.66,0.94,11.71903508,3.169013914,5823,0.547074695,2,0.163420209,3.347656312,0.239118308,0.175393888,11.71903508,11.08499426,10.23831902,8.261454885,7.555599727
138,DB50130_d1,DB50130,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,M,a,58.96,3.53,9.510378956,3.235658335,13797,0.555771531,2.82842712,0.177872273,3.124554055,0.223182432,0.194378005,9.510378956,9.256191613,8.160808004,6.72041373,6.013981034
139,DB50131_d1,DB50131,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,c,55.46,2.62,12.00243748,3.339466051,12185,0.526759929,3.999999987,0.139417923,3.778279854,0.269877132,0.171436154,12.00243748,11.92314101,10.89505653,8.64619461,7.510611443
140,DB50132_d1,DB50132,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,d,38.63,0.8,11.61137825,3.824359784,5566,0.617790189,2.82842712,0.151748026,4.071157987,0.290796999,0.197887881,11.61137825,11.00411639,9.988285783,7.083702354,6.424737107
141,DB50133_d1,DB50133,sec_1,6,41.85779192,-8.222811081,Lindoso/Poco da Gola,20052022,2022,F,c,38.36,0.82,11.09260747,4.027232238,5210,0.664643196,2,0.132534118,5.01488374,0.358205981,0.211245728,11.09260747,10.23554994,9.252191253,6.883725061,6.121767699
